,S_No,user_id,username,tweet,unix_time,title,year,rating
302,761403,16858626,magicmariouk,I rated In a World... 6/10 ,1390012374,,,
303,761404,18536394,lk012,I rated jOBS 7/10 ,1390012261,,,
304,761405,131297428,aybkm,I rated Closing the Ring 6/10 ,1390012195,,,
305,761406,119367217,comicbookguy_UK,I rated The Conjuring 7/10 ,1390011975,,,
306,761407,816219379,moviemikericci,I rated Her 9/10 ,1390011942,,,
307,761408,476393579,jackdwhiskey,I rated Social Network 7/10 ,1390011636,,,
308,761409,627479742,Owen_Jones89,I rated The Wolf of Wall Street 10/10 ,1390011511,,,
309,761410,235327687,Tony_Flo,I rated The Purple Rose of Cairo 8/10 ,1390011487,,,
310,761411,58348199,RedCapeJewelry,I rated Stir of Echoes 7/10 ,1390011434,,,
311,761412,336564615,sunners14,I rated The Truman Show 10/10 ,1390011310,,,
312,761413,466703492,naatanen,I rated 16 Blocks 6/10 ,1390011275,,,
313,761414,395912603,Unleashed_Event,I rated The World's End 8/10 ,1390011177,,,
314,761415,45696699,rhimol,I rated Blue Jasmine 8/10 ,1390011127,,,
315,761416,45696699,rhimol,I rated Captain Phillips 9/10 ,1390011110,,,
316,761417,359453287,leepeterallan,I rated Jack and Jill 5/10 ,1390011091,,,
317,761418,14301121,magnord,I rated Monica Z 8/10 ,1390011013,,,
318,761419,626435773,giorgosadv,I rated 12 hronia sklavos 8/10 ,1390010666,,,
319,761420,554949229,tomwarrenuk,I rated Top Gear: The Perfect Road Trip 8/10 ,1390010658,,,
320,761421,631386083,coatmilk,I rated The Wolf of Wall Street 8/10 ,1390010514,,,
321,761422,80013496,rhinomni,I rated Testosteron 8/10 ,1390010225,,,
322,761423,16542144,horacebury,I rated Pirates of the Caribbean: At World's End 6/10 ,1390009723,,,
323,761424,16542144,horacebury,I rated The Tourist 8/10 ,1390009700,,,
